symbol,address
vAMM-wUSDRv3/USDC,0x9DeBDCcA77DDF6f89A048bD8E1DD6270B82fe8e1
vAMM-FRAX/USD+,0x0D20EF7033b73Ea0c9c320304B05da82E2C14E33
vAMM-CHR/USDC.e,0x20585BFBC272A9D58ad17582BCdA9A5A57271d6A
sAMM-USD+/DAI+,0xB260163158311596Ea88a700C5a30f101D072326
vAMM-plsRDNT/RDNT,0x3fb69D8720816A604487F2Fd5813b72C15Dd77Ea
vAMM-WETH/DEUS,0xAa02446c845859Fc0D967f62964A703EdDA160c2
vAMM-IDIA/USDC.e,0x6522d9AD280ed92155b33a6c4dDE84FCc857914d
vAMM-IBEX/ARB,0xa636E51C966331411Bb8D5f83D06010C3197f12D
vAMM-WETH/ARB,0xafE909b1A5ed90d36f9eE1490fCB855645C00EB3
vAMM-WAR/WETH,0x257DBe5E13e53B16947bf7Ef8B108DF616bC2054
vAMM-DEI/DEUS,0xf4B478c32E43EEa1c288ac96b71f3de095672C3c
vAMM-FBOMB/YFX,0xfef1e3e114E9D73FA794ee3B8435c59Aef33a0f8
vAMM-WETH/RETH,0xBbBe4D4a3d370F478be7f2D3B734591BB1a99d37
vAMM-YFX/USDC.e,0xDBf5c47eA7bC6384eC8b8e60CADf885e736bcc09
vAMM-CHR/WETH,0xE478af0A1e3cCB4aFce648A9360c7ab730cd2E81
vAMM-WETH/IDIA,0x89F2A0D3F248e626Ae1108F95a06C8d864a4059C
vAMM-ORBS/USDC.e,0x3bB389cE18e9B9Cfd242fF6f88c9acce4AEC4Bb4
vAMM-RDNT/WETH,0x9aC09266B68a8Fea081C232e54fA31526E740570
vAMM-IBEX/WETH,0xd306c21Da241fB0eE03C658Ceaa75daa8fE78658
vAMM-ARB/USDC.e,0xd302119B5C46d504D0b3534312e56eC321976251
vAMM-WETH/ARKEN,0x498D4C5910f8384a4d8F200D0339016Ea1EBaB32
vAMM-WBTC/WETH,0x5b69430721B580bB502af14d07001aC5de10aC6a
vAMM-OATHv1/ERN,0x06CD9cBd9C55b27e56666a4d9629728034a94e9C
vAMM-WETH/USDC.e,0xA2F1C1B52E1b7223825552343297Dc68a29ABecC
vAMM-Y2K/WETH,0xdB58bA3B74CBBa91E80F8329Ff9A5b19036EC3dF
sAMM-frxETH/WETH,0xdb286ED48b294D348593bFAf1f862393FA8776e9
sAMM-FRAX/MAI,0x37A7bF05807feCD6b1CCE53366059e70E313e4Af
sAMM-jEUR/agEUR,0x11357D693D8dfdFa570C3b899FBa073152f9dcAC
sAMM-frxETH/sfrxETH,0xd52862915de98201bA93a45E73081450075C4E33
sAMM-DOLA/USD+,0xBbD7fF1728963A5Eb582d26ea90290F84E89bd66
vAMM-IBEX/USDC.e,0xeee5FBcFF2f22b351D0A693ED62C515C01ef3EcA
vAMM-WETH/LQTY,0x393c93f8133bc89db3177D6e10182Efd4129D0d1
vAMM-wUSDR/USDC.e,0x278f76df86EfdcbE0f2573AE54e917505621E312
sAMM-LUSD/USDC.e,0x4F7ecB899871114F75c052D94a74ebd316f20660
vAMM-WETH/ACS,0x31440D82F14e36Be8EDE9E47137E3dfFEEf32C51
vAMM-GND/gmUSD,0x01b325acD3170A90ca8399441B7FBD8727598008
sAMM-USDT/USDC.e,0x01b325acD3170A90ca8399441B7FBD8727598008
vAMM-WETH/elCHR,0x176791a1aFc80D201d4d0A5a9A66Bbe726F83ee3
vAMM-WETH/DCA,0x9093351Ff2857fEA881808bDFF0CbEA73586F59F
sAMM-LUSD/USD+,0xcd78e225E36E724c9FB4Bd8287296557D728cda7
IBEX,0x56659245931cb6920e39c189d2a0e7dd0da2d57b
